iter	Passed	Remaining
0	161	161092
1	163	81664
2	165	55156
3	168	41896
4	170	33854
5	171	28482
6	173	24644
7	175	21772
8	177	19492
9	179	17730
10	180	16223
11	181	14944
12	182	13842
13	183	12895
14	183	12079
15	184	11367
16	185	10742
17	186	10183
18	187	9682
19	188	9226
20	189	8815
21	189	8438
22	190	8099
23	191	7787
24	192	7503
25	193	7252
26	194	7012
27	195	6787
28	196	6570
29	197	6376
30	198	6192
31	198	6016
32	199	5850
33	200	5696
34	201	5552
35	202	5414
36	203	5289
37	204	5166
38	205	5059
39	206	4956
40	207	4857
41	208	4766
42	210	4675
43	211	4589
44	212	4507
45	213	4424
46	214	4345
47	215	4270
48	216	4195
49	217	4123
50	217	4054
51	218	3986
52	219	3926
53	220	3864
54	221	3803
55	222	3751
56	223	3699
57	224	3648
58	225	3602
59	226	3551
60	227	3501
61	228	3452
62	229	3407
63	230	3364
64	231	3324
65	231	3280
66	232	3238
67	233	3198
68	234	3162
69	235	3129
70	236	3100
71	238	3070
72	239	3039
73	240	3005
74	241	2972
75	241	2939
76	242	2907
77	243	2876
78	244	2847
79	245	2818
80	245	2788
81	246	2759
82	246	2727
83	247	2701
84	248	2674
85	249	2649
86	250	2625
87	251	2605
88	252	2583
89	253	2561
90	254	2538
91	254	2515
92	255	2493
93	256	2470
94	256	2448
95	257	2426
96	258	2403
97	258	2382
98	259	2361
99	260	2341
100	260	2320
101	261	2300
102	262	2281
103	262	2263
104	263	2245
105	264	2227
106	264	2210
107	265	2195
108	266	2180
109	267	2164
110	268	2148
111	269	2134
112	270	2119
113	270	2104
114	271	2088
115	272	2073
116	272	2057
117	273	2042
118	273	2027
119	274	2013
120	275	1999
121	275	1984
122	276	1971
123	277	1957
124	277	1944
125	278	1931
126	278	1916
127	279	1903
128	280	1891
129	281	1881
130	282	1871
131	282	1860
132	283	1849
133	284	1838
134	285	1828
135	285	1816
136	286	1805
137	287	1794
138	287	1783
139	288	1771
140	289	1760
141	289	1748
142	289	1737
143	290	1727
144	291	1716
145	291	1706
146	292	1696
147	292	1686
148	293	1676
149	294	1666
150	294	1656
151	295	1649
152	296	1643
153	297	1635
154	298	1627
155	299	1619
156	300	1610
157	300	1601
158	301	1593
159	301	1584
160	302	1574
161	302	1565
162	303	1557
163	303	1548
164	304	1540
165	304	1532
166	305	1524
167	306	1516
168	306	1508
169	307	1500
170	307	1493
171	308	1485
172	309	1477
173	309	1470
174	310	1464
175	311	1459
176	312	1453
177	313	1447
178	314	1440
179	314	1434
180	315	1427
181	316	1420
182	316	1413
183	317	1406
184	317	1399
185	318	1392
186	319	1386
187	319	1381
188	320	1375
189	321	1369
190	321	1362
191	322	1356
192	322	1349
193	323	1343
194	323	1337
195	324	1331
196	325	1325
197	326	1320
198	327	1317
199	328	1313
200	329	1309
201	330	1304
202	330	1298
203	331	1292
204	331	1287
205	332	1281
206	333	1276
207	333	1270
208	334	1265
209	334	1259
210	335	1254
211	336	1249
212	336	1243
213	337	1238
214	337	1233
215	338	1228
216	339	1223
217	339	1218
218	340	1214
219	341	1209
220	342	1206
221	343	1203
222	344	1200
223	345	1196
224	346	1191
225	346	1187
226	347	1183
227	348	1178
228	348	1174
229	349	1170
230	350	1166
231	351	1162
232	351	1158
233	352	1154
234	353	1150
235	354	1147
236	355	1143
237	356	1140
238	357	1137
239	358	1135
240	359	1131
241	359	1127
242	360	1123
243	361	1118
244	361	1114
245	362	1110
246	362	1106
247	363	1102
248	364	1098
249	364	1094
250	365	1089
251	365	1085
252	366	1081
253	367	1078
254	367	1074
255	368	1070
256	368	1066
257	369	1062
258	369	1058
259	370	1055
260	371	1052
261	372	1049
262	373	1046
263	374	1043
264	374	1039
265	375	1035
266	375	1032
267	376	1028
268	377	1024
269	377	1021
270	378	1017
271	378	1013
272	379	1010
273	379	1006
274	380	1003
275	381	1000
276	381	996
277	382	993
278	382	989
279	383	986
280	384	982
281	384	979
282	385	976
283	386	974
284	387	972
285	388	969
286	389	966
287	389	963
288	390	960
289	390	956
290	391	953
291	391	950
292	392	947
293	393	944
294	393	940
295	394	937
296	394	934
297	395	931
298	396	928
299	396	925
300	397	922
301	397	919
302	398	916
303	399	913
304	399	910
305	400	908
306	401	905
307	402	904
308	403	902
309	404	899
310	404	896
311	405	893
312	405	890
313	406	888
314	407	885
315	407	882
316	408	879
317	408	876
318	409	874
319	410	871
320	410	868
321	411	865
322	411	863
323	412	860
324	413	857
325	413	855
326	414	852
327	414	850
328	415	847
329	416	845
330	417	843
331	418	841
332	418	839
333	419	836
334	420	834
335	420	831
336	421	828
337	421	826
338	422	823
339	423	821
340	423	818
341	424	816
342	424	813
343	425	811
344	426	808
345	426	806
346	427	804
347	427	801
348	428	799
349	428	796
350	429	794
351	430	791
352	430	789
353	431	787
354	432	785
355	433	784
356	434	781
357	434	779
358	435	777
359	435	775
360	436	772
361	437	770
362	437	768
363	438	765
364	438	763
365	439	761
366	440	759
367	440	756
368	441	754
369	441	752
370	442	750
371	443	748
372	443	745
373	444	743
374	444	741
375	445	739
376	446	737
377	447	735
378	447	734
379	448	732
380	449	730
381	450	728
382	450	725
383	451	723
384	451	721
385	452	719
386	452	717
387	453	715
388	454	713
389	454	711
390	455	709
391	455	707
392	456	705
393	457	703
394	457	701
395	458	699
396	458	697
397	459	694
398	460	692
399	460	691
400	461	689
401	462	688
402	463	686
403	464	684
404	464	683
405	465	681
406	466	679
407	466	677
408	467	675
409	467	673
410	468	671
411	468	669
412	469	667
413	470	665
414	470	663
415	471	661
416	471	659
417	472	657
418	473	655
419	473	654
420	474	652
421	474	650
422	475	648
423	476	646
424	476	645
425	477	643
426	478	642
427	479	640
428	480	639
429	480	637
430	481	635
431	481	633
432	482	631
433	483	629
434	483	628
435	484	626
436	485	625
437	486	623
438	486	622
439	487	620
440	488	618
441	488	616
442	489	615
443	489	613
444	490	611
445	491	609
446	491	608
447	492	607
448	493	605
449	494	604
450	495	602
451	495	601
452	496	599
453	496	597
454	497	595
455	498	594
456	498	592
457	499	591
458	500	589
459	501	588
460	503	588
461	506	590
462	508	590
463	510	589
464	512	589
465	514	589
466	516	589
467	518	588
468	519	588
469	521	587
470	522	587
471	524	586
472	526	586
473	528	586
474	529	585
475	531	585
476	533	585
477	535	584
478	536	583
479	538	583
480	539	582
481	541	581
482	543	581
483	545	581
484	546	580
485	548	580
486	550	579
487	551	579
488	553	578
489	555	577
490	556	576
491	557	575
492	558	574
493	560	574
494	561	572
495	562	571
496	563	570
497	564	569
498	565	567
499	566	566
500	567	565
501	568	563
502	569	562
503	569	560
504	570	559
505	571	557
506	572	556
507	573	555
508	574	554
509	575	552
510	576	551
511	576	549
512	577	548
513	578	546
514	578	544
515	579	543
516	579	541
517	580	540
518	580	538
519	581	536
520	582	535
521	582	533
522	583	531
523	583	530
524	584	528
525	584	527
526	585	525
527	586	524
528	586	522
529	587	521
530	588	519
531	589	518
532	590	517
533	591	515
534	591	514
535	592	512
536	593	511
537	593	510
538	594	508
539	595	507
540	595	505
541	596	504
542	597	502
543	597	501
544	598	499
545	598	497
546	599	496
547	600	494
548	600	493
549	601	491
550	601	490
551	602	488
552	602	487
553	603	485
554	604	484
555	605	483
556	606	482
557	607	480
558	607	479
559	608	477
560	608	476
561	609	474
562	609	473
563	610	471
564	611	470
565	611	469
566	612	467
567	612	466
568	613	464
569	614	463
570	614	461
571	615	460
572	615	458
573	616	457
574	617	456
575	617	454
576	618	453
577	619	451
578	620	451
579	621	449
580	621	448
581	622	447
582	623	445
583	623	444
584	624	443
585	625	441
586	625	440
587	626	438
588	627	437
589	627	436
590	628	435
591	629	433
592	630	432
