iter	Passed	Remaining
0	0	94
1	1	87
2	2	83
3	3	80
4	4	77
5	4	75
6	5	75
7	6	74
8	7	72
9	8	72
10	8	71
11	9	70
12	10	69
13	11	68
14	12	68
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	63
22	18	62
23	19	62
24	20	62
25	21	61
26	22	61
27	23	60
28	24	60
29	25	59
30	26	58
31	26	57
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	45
42	33	45
43	34	44
44	36	44
45	37	43
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
